OriginationVintage,GrossApproval,SBAGuaranteedApproval,TermInMonths,InitialInterestRate,JobsSupported,seasonedCount,MPRIME,PP,IP,CORPORATIONCount,INDIVIDUALCount,PARTNERSHIPCount,LoanPortfolioAmortized,GrossApprovalChargedOff,SBAGuaranteedApprovalChargedOff,GrossChargeOffAmount,CORPORATIONChargedOff,INDIVIDUALChargedOff,PARTNERSHIPChargedOff,MajorState,OtherState,TermInMonthsChargedOff,InitialInterestRateChargedOff,seasonedTime,seasonedChargedOffPool,JobsSupportedChargedOff,MPRIMEChargedOff,rollSumChargeOff,rollAvgPortfolioAmortized,rollLossRate,rollLossRateDiff,unEmpScore,unEmpScoreDiff,ChargedOffLoans,LoansInPool,seasonedRatioPool,CorporationRatio,IndividualRatio,PartnerShipRatio
1990-10-01,321736348,262560423,163.22669599954557,10.0,0.0,0.0,10.0,934886.5227262401,2681136.2333333334,818.0,508.0,141.0,320801461.47727376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5.912366404316695,,0.0,1467.0,0.0,0.5576005453306067,0.34628493524199044,0.09611451942740286
1990-11-01,310832529,250825673,174.6005297019605,10.0,0.0,6.0,10.0,1742741.896612533,5263616.587310615,1561.0,945.0,289.0,629891248.5806612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.0768126834724585,0.16444627915576326,0.0,2795.0,0.002146690518783542,0.5584973166368515,0.33810375670840787,0.10339892665474061
1990-12-01,301586674,242940365,177.22192397997003,10.0,0.0,20.0,10.0,2508736.1160596176,7762316.02150551,2227.0,1408.0,401.0,928969186.4646016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.264257543908011,0.1874448604355523,0.0,4036.0,0.004955401387512388,0.5517839444995044,0.34886025768087214,0.09935579781962339
1991-01-01,294180571,239103991,167.42969535877336,9.52,0.0,21.0,9.52,3380762.8796912674,10075242.417138347,2934.0,1859.0,529.0,1219768994.5849104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.41223736649018,0.1479798225821689,0.0,5322.0,0.003945885005636978,0.5512965050732808,0.34930477264186394,0.09939872228485531
1991-02-01,296068734,240750339,166.71274813165513,9.05,0.0,32.0,9.05,4308702.411337281,12280261.543642653,3621.0,2362.0,647.0,1511529026.173573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.556378186740187,0.14414082025000763,0.0,6630.0,0.0048265460030165915,0.5461538461538461,0.35625942684766215,0.0975867269984917
1991-03-01,385614583,311001469,164.65622656703312,9.0,0.0,28.0,9.0,5545811.09039426,15137520.79652946,4508.0,2941.0,789.0,1891597798.0831788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.676368899615162,0.11999071287497465,0.0,8238.0,0.0033988832240835153,0.547220199077446,0.3570041272153435,0.09577567370721049
1991-04-01,408945398,332128331,170.1473543859271,9.0,0.0,61.0,9.0,6787240.0208279565,18160461.901449595,5447.0,3538.0,950.0,2293755956.0623507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.7275447260737415,0.05117582645857954,0.0,9935.0,0.006139909411172622,0.5482637141419225,0.35611474584801206,0.09562154001006543
1991-05-01,407656877,332298994,163.49781542628065,8.5,0.0,62.0,8.5,8177673.671819627,20994550.231293205,6405.0,4140.0,1122.0,2693235159.390531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.775887518489591,0.04834279241584927,0.0,11667.0,0.005314133881889089,0.5489843147338648,0.3548470043713037,0.09616868089483158
1991-06-01,396612366,322514166,172.36746466699933,8.5,0.0,63.0,8.5,9427896.347801512,23740514.126264546,7272.0,4743.0,1278.0,3080419629.04273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.756735043277984,-0.019152475211607012,0.0,13293.0,0.004739336492890996,0.5470548408937035,0.35680433310765064,0.0961408259986459
1991-07-01,424486941,341749376,169.71880919182388,8.5,0.0,76.0,8.5,10809454.5710431,26675023.254585724,8212.0,5389.0,1417.0,3494097115.4716864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.730303468656191,-0.026431574621792464,0.0,15018.0,0.00506059395392196,0.5468104940737781,0.3588360633905979,0.09435344253562392
